Label,Date,Lat,Lon,X,Y
Derelict vessels,Wed Jan 03 2024 15:48:26 GMT-0600 (Central Standard Time),30.3734349,-88.8428045,981263.2891725202,317639.35045322037
Unidentified debris,Wed Jan 03 2024 15:47:14 GMT-0600 (Central Standard Time),30.3642962,-88.8249165,986904.476054293,314315.66422380373
Unidentified debris,Wed Jan 03 2024 15:46:57 GMT-0600 (Central Standard Time),30.3642227,-88.8246729,986981.3039460477,314288.93876541895
Unidentified debris,Wed Jan 03 2024 15:46:46 GMT-0600 (Central Standard Time),30.3642023,-88.8247365,986961.2465134127,314281.5179539556
Unidentified debris,Wed Jan 03 2024 15:46:37 GMT-0600 (Central Standard Time),30.3642002,-88.824686,986977.1731279038,314280.75541559124
Unidentified debris,Wed Jan 03 2024 15:46:29 GMT-0600 (Central Standard Time),30.3642081,-88.824653,986987.5803606766,314283.6293654012
Unidentified debris,Wed Jan 03 2024 15:46:18 GMT-0600 (Central Standard Time),30.3642141,-88.8246574,986986.1925333821,314285.8114016669
Unidentified debris,Wed Jan 03 2024 15:46:12 GMT-0600 (Central Standard Time),30.3642339,-88.8246496,986988.6519247305,314293.01266032347
Unidentified debris,Wed Jan 03 2024 15:46:03 GMT-0600 (Central Standard Time),30.3642182,-88.8246312,986994.455304508,314287.303165805
Unidentified debris,Wed Jan 03 2024 15:45:52 GMT-0600 (Central Standard Time),30.364165,-88.8246418,986991.1137887855,314267.954579153
Unidentified debris,Wed Jan 03 2024 15:45:42 GMT-0600 (Central Standard Time),30.3641611,-88.8246372,986992.5646339736,314266.5362978046
Unidentified debris,Wed Jan 03 2024 15:45:32 GMT-0600 (Central Standard Time),30.364166,-88.8246208,986997.7366877128,314268.3187780359
Unidentified debris,Wed Jan 03 2024 15:45:25 GMT-0600 (Central Standard Time),30.3641644,-88.8246126,987000.322827718,314267.73707224516
Unidentified debris,Wed Jan 03 2024 15:45:18 GMT-0600 (Central Standard Time),30.3641409,-88.8246175,986998.7781353099,314259.1902286469
Unidentified debris,Wed Jan 03 2024 15:45:07 GMT-0600 (Central Standard Time),30.364165,-88.8245789,987010.9510316884,314267.95610580087
Unidentified debris,Wed Jan 03 2024 15:44:57 GMT-0600 (Central Standard Time),30.3641688,-88.8245744,987012.3701235108,314269.33823901945
Unidentified debris,Wed Jan 03 2024 15:44:51 GMT-0600 (Central Standard Time),30.3641744,-88.8245742,987012.4330416161,314271.3749102201
Unidentified debris,Wed Jan 03 2024 15:44:41 GMT-0600 (Central Standard Time),30.3641931,-88.8245873,987008.3010723599,314278.17560196994
Unidentified debris,Wed Jan 03 2024 15:44:35 GMT-0600 (Central Standard Time),30.3641911,-88.8245806,987010.4141569817,314277.44838424557
Unidentified debris,Wed Jan 03 2024 15:44:28 GMT-0600 (Central Standard Time),30.3641714,-88.8245665,987014.8615322981,314270.2840267219
Unidentified debris,Wed Jan 03 2024 15:44:19 GMT-0600 (Central Standard Time),30.3641948,-88.8245698,987013.8201287186,314278.79430197296
Unidentified debris,Wed Jan 03 2024 15:44:09 GMT-0600 (Central Standard Time),30.3641844,-88.824539,987023.5340453408,314275.01267398486
Unidentified debris,Wed Jan 03 2024 15:43:57 GMT-0600 (Central Standard Time),30.3642223,-88.8245097,987032.7735303801,314288.79725895054
Unidentified debris,Wed Jan 03 2024 15:43:24 GMT-0600 (Central Standard Time),30.3640084,-88.8244721,987044.6377981361,314211.00480486377
Unidentified debris,Wed Jan 03 2024 15:42:58 GMT-0600 (Central Standard Time),30.3640659,-88.824114,987157.5729494344,314231.9260109281
Unidentified debris,Wed Jan 03 2024 15:42:52 GMT-0600 (Central Standard Time),30.3640518,-88.8241675,987140.7006524082,314226.79660775146
Unidentified debris,Wed Jan 03 2024 15:42:41 GMT-0600 (Central Standard Time),30.3639955,-88.8242636,987110.3944809776,314206.3183998139
Unidentified debris,Wed Jan 03 2024 15:42:33 GMT-0600 (Central Standard Time),30.3640218,-88.8243658,987078.1620911239,314215.88089293
Unidentified debris,Wed Jan 03 2024 15:42:10 GMT-0600 (Central Standard Time),30.3639249,-88.8241518,987145.6558229282,314180.64469606034
Unidentified debris,Wed Jan 03 2024 15:42:00 GMT-0600 (Central Standard Time),30.3638665,-88.8240218,987186.6567391404,314159.4085212873
Unidentified debris,Wed Jan 03 2024 15:41:42 GMT-0600 (Central Standard Time),30.3637691,-88.8239863,987197.85559451,314123.9859982312
Unidentified debris,Wed Jan 03 2024 15:41:32 GMT-0600 (Central Standard Time),30.3637673,-88.8239551,987207.6954653999,314123.3321683028
Unidentified debris,Wed Jan 03 2024 15:41:24 GMT-0600 (Central Standard Time),30.3637758,-88.8239803,987199.747665887,314126.4228799606
Unidentified debris,Wed Jan 03 2024 15:41:16 GMT-0600 (Central Standard Time),30.3637739,-88.8239736,987201.860760369,314125.7320426381
Unidentified debris,Wed Jan 03 2024 15:41:08 GMT-0600 (Central Standard Time),30.3637701,-88.823965,987204.5731316399,314124.3502432112
